game_id,league_id,season,game_type,game_date,game_time,game_status,home_team_id,away_team_id,home_score,away_score,point_difference
1,NBA,2022,regular,10/18/2022,7:30 PM,finished,3,21,126,117,9
2,NBA,2022,regular,10/18/2022,10:00 PM,finished,6,12,123,109,14
3,NBA,2022,regular,10/19/2022,7:00 PM,finished,27,17,113,109,4
4,NBA,2022,regular,10/19/2022,7:00 PM,finished,19,25,107,114,7
5,NBA,2022,regular,10/19/2022,7:30 PM,finished,1,8,117,107,10
6,NBA,2022,regular,10/19/2022,7:30 PM,finished,13,0,108,130,22
7,NBA,2022,regular,10/19/2022,7:30 PM,finished,9,7,108,116,8
8,NBA,2022,regular,10/19/2022,7:30 PM,finished,23,5,108,105,3
9,NBA,2022,regular,10/19/2022,7:30 PM,finished,28,15,115,112,3
10,NBA,2022,regular,10/19/2022,8:00 PM,finished,14,24,115,108,7
11,NBA,2022,regular,10/19/2022,8:00 PM,finished,22,29,102,129,27
12,NBA,2022,regular,10/19/2022,9:00 PM,finished,26,4,123,102,21
13,NBA,2022,regular,10/19/2022,10:00 PM,finished,16,2,107,105,2
14,NBA,2022,regular,10/19/2022,10:00 PM,finished,20,18,108,115,7
15,NBA,2022,regular,10/20/2022,7:30 PM,finished,21,11,88,90,2
16,NBA,2022,regular,10/20/2022,10:00 PM,finished,12,10,97,103,6
17,NBA,2022,regular,10/21/2022,7:00 PM,finished,29,0,112,124,12
18,NBA,2022,regular,10/21/2022,7:00 PM,finished,19,22,134,137,3
19,NBA,2022,regular,10/21/2022,7:00 PM,finished,25,7,102,100,2
20,NBA,2022,regular,10/21/2022,7:30 PM,finished,1,17,108,98,10
21,NBA,2022,regular,10/21/2022,7:30 PM,finished,13,23,109,105,4
22,NBA,2022,regular,10/21/2022,7:30 PM,finished,9,3,104,111,7
23,NBA,2022,regular,10/21/2022,7:30 PM,finished,15,27,130,106,24
24,NBA,2022,regular,10/21/2022,8:00 PM,finished,8,28,122,129,7
25,NBA,2022,regular,10/21/2022,8:00 PM,finished,14,26,126,132,6
26,NBA,2022,regular,10/21/2022,10:00 PM,finished,6,4,123,128,5
27,NBA,2022,regular,10/21/2022,10:00 PM,finished,18,16,113,111,2
28,NBA,2022,regular,10/22/2022,6:00 PM,finished,21,22,105,114,9
29,NBA,2022,regular,10/22/2022,7:00 PM,finished,19,27,124,115,9
30,NBA,2022,regular,10/22/2022,7:00 PM,finished,17,3,120,126,6
31,NBA,2022,regular,10/22/2022,8:00 PM,finished,9,23,112,109,3
32,NBA,2022,regular,10/22/2022,8:00 PM,finished,7,5,96,128,32
33,NBA,2022,regular,10/22/2022,8:00 PM,finished,11,8,125,105,20
34,NBA,2022,regular,10/22/2022,8:30 PM,finished,2,28,137,96,41
35,NBA,2022,regular,10/22/2022,9:00 PM,finished,4,24,122,117,5
36,NBA,2022,regular,10/22/2022,10:00 PM,finished,20,10,109,111,2
37,NBA,2022,regular,10/23/2022,3:30 PM,finished,12,18,104,106,2
38,NBA,2022,regular,10/23/2022,5:00 PM,finished,1,29,109,126,17
39,NBA,2022,regular,10/23/2022,7:00 PM,finished,5,25,117,107,10
40,NBA,2022,regular,10/23/2022,7:00 PM,finished,0,26,121,122,1
41,NBA,2022,regular,10/23/2022,8:00 PM,finished,24,14,106,116,10
42,NBA,2022,regular,10/23/2022,8:30 PM,finished,6,20,130,125,5
43,NBA,2022,regular,10/23/2022,10:00 PM,finished,10,16,95,112,17
