player_id,team_id,league_id,first_name,last_name,full_name,jersey_number,position_simple,status
2,12,NBA,LeBron,James,LeBron James,23,W,active
3,11,NBA,Robin,Lopez,Robin Lopez,42,B,active
4,21,NBA,Nicolas,Batum,Nicolas Batum,40,W,active
5,28,NBA,Derrick,Rose,Derrick Rose,23,G,active
7,8,NBA,Jeff,Green,Jeff Green,32,B,active
9,24,NBA,Davis,Bertans,Davis Bertans,9,B,active
11,,,Terrence,Ross,Terrence Ross,8,W,inactive
12,10,NBA,Paul,George,Paul George,13,W,active
13,,,Taj,Gibson,Taj Gibson,67,B,inactive
17,8,NBA,Reggie,Bullock,Reggie Bullock,25,W,active
19,17,NBA,Gary,Harris,Gary Harris,14,W,active
20,21,NBA,Marcus,Morris Sr.,Marcus Morris Sr.,5,W,active
21,,,Kemba,Walker,Kemba Walker,,G,active
22,,,Gorgui,Dieng,Gorgui Dieng,41,B,inactive
23,,,Austin,Rivers,Austin Rivers,25,G,inactive
25,2,NBA,Tim,Hardaway Jr.,Tim Hardaway Jr.,10,W,active
27,17,NBA,Markelle,Fultz,Markelle Fultz,20,G,active
28,10,NBA,Kawhi,Leonard,Kawhi Leonard,2,W,active
29,27,NBA,Alec,Burks,Alec Burks,14,G,active
30,1,NBA,Clint,Capela,Clint Capela,15,B,active
31,,,Will,Barton,Will Barton,1,W,inactive
34,10,NBA,Russell,Westbrook,Russell Westbrook,0,G,active
35,17,NBA,Jonathan,Isaac,Jonathan Isaac,1,W,active
36,4,NBA,Reggie,Jackson,Reggie Jackson,7,G,active
37,15,NBA,Evan,Fournier,Evan Fournier,13,W,active
38,1,NBA,Bogdan,Bogdanovic,Bogdan Bogdanovic,13,W,active
39,,,JaMychal,Green,JaMychal Green,1,B,inactive
41,13,NBA,Spencer,Dinwiddie,Spencer Dinwiddie,26,G,active
43,21,NBA,Mo,Bamba,Mo Bamba,7,B,active
44,21,NBA,Robert,Covington,Robert Covington,33,W,active
45,,,Nerlens,Noel,Nerlens Noel,0,B,inactive
46,25,NBA,Delon,Wright,Delon Wright,55,G,active
47,4,NBA,Aaron,Gordon,Aaron Gordon,50,W,active
48,0,NBA,Cody,Zeller,Cody Zeller,40,B,active
49,2,NBA,Dwight,Powell,Dwight Powell,7,B,active
51,17,NBA,Wendell,Carter Jr.,Wendell Carter Jr.,34,B,active
53,15,NBA,Julius,Randle,Julius Randle,30,B,active
55,4,NBA,Nikola,Jokic,Nikola Jokic,15,B,active
57,8,NBA,Boban,Marjanovic,Boban Marjanovic,51,B,active
59,17,NBA,Moritz,Wagner,Moritz Wagner,21,B,active
60,10,NBA,Norman,Powell,Norman Powell,24,W,active
61,15,NBA,Ryan,Arcidiacono,Ryan Arcidiacono,51,G,active
62,26,NBA,John,Collins,John Collins,20,B,active
63,4,NBA,Jamal,Murray,Jamal Murray,27,G,active
66,12,NBA,Anthony,Davis,Anthony Davis,3,B,active
67,16,NBA,Bol,Bol,Bol Bol,11,B,active
68,10,NBA,Ivica,Zubac,Ivica Zubac,40,B,active
69,15,NBA,Mitchell,Robinson,Mitchell Robinson,23,B,active
70,20,NBA,Kevin,Huerter,Kevin Huerter,9,W,active
71,,,Bryn,Forbes,Bryn Forbes,,W,inactive
73,13,NBA,Dorian,Finney-Smith,Dorian Finney-Smith,28,W,active
75,17,NBA,Chuma,Okeke,Chuma Okeke,3,W,active
76,28,NBA,Luke,Kennard,Luke Kennard,10,W,active
77,15,NBA,RJ,Barrett,RJ Barrett,9,W,active
78,27,NBA,Kevin,Knox II,Kevin Knox II,24,W,active
79,27,NBA,Monte,Morris,Monte Morris,5,G,active
81,29,NBA,Frank,Ntilikina,Frank Ntilikina,44,G,active
82,,,Stanley,Johnson,Stanley Johnson,,W,active
84,15,NBA,Isaiah,Hartenstein,Isaiah Hartenstein,55,B,active
85,12,NBA,Cam,Reddish,Cam Reddish,5,W,active
86,1,NBA,Trae,Young,Trae Young,11,G,active
87,4,NBA,Vlatko,Cancar,Vlatko Cancar,31,W,active
89,,,Sterling,Brown,Sterling Brown,0,W,active
90,20,NBA,Malik,Monk,Malik Monk,0,W,active
91,17,NBA,Admiral,Schofield,Admiral Schofield,25,W,active
92,10,NBA,Amir,Coffey,Amir Coffey,7,W,active
93,15,NBA,Quentin,Grimes,Quentin Grimes,6,W,active
94,1,NBA,De'Andre,Hunter,De'Andre Hunter,12,W,active
95,,,Davon,Reed,Davon Reed,1,W,active
97,2,NBA,Maxi,Kleber,Maxi Kleber,42,B,active
98,,,Wenyen,Gabriel,Wenyen Gabriel,32,B,active
100,10,NBA,Terance,Mann,Terance Mann,14,W,active
101,19,NBA,Obi,Toppin,Obi Toppin,1,B,active
102,1,NBA,Onyeka,Okongwu,Onyeka Okongwu,17,B,active
103,4,NBA,Michael,Porter Jr.,Michael Porter Jr.,1,W,active
105,15,NBA,Jalen,Brunson,Jalen Brunson,11,G,active
106,,,Kendrick,Nunn,Kendrick Nunn,,G,active
107,17,NBA,Cole,Anthony,Cole Anthony,50,G,active
108,10,NBA,Xavier,Moon,Xavier Moon,15,G,active
109,15,NBA,Immanuel,Quickley,Immanuel Quickley,5,G,active
110,18,NBA,Skylar,Mays,Skylar Mays,5,G,active
111,4,NBA,Zeke,Nnaji,Zeke Nnaji,22,B,active
113,2,NBA,Luka,Doncic,Luka Doncic,77,G,active
114,26,NBA,Talen,Horton-Tucker,Talen Horton-Tucker,5,W,active
115,9,NBA,Roderick,Hampton,R.J. Hampton,4,G,active
116,,,Jay,Scrubb,Jay Scrubb,55,W,inactive
117,15,NBA,Miles,McBride,Miles McBride,2,G,active
121,,,Theo,Pinson,Theo Pinson,11,W,active
123,17,NBA,Franz,Wagner,Franz Wagner,22,W,active
124,10,NBA,Brandon,Boston Jr.,Brandon Boston Jr.,4,W,active
125,15,NBA,Jericho,Sims,Jericho Sims,45,B,active
126,1,NBA,Jalen,Johnson,Jalen Johnson,1,B,active
127,,,Facundo,Campazzo,Facundo Campazzo,7,G,active
129,2,NBA,Josh,Green,Josh Green,8,W,active
130,12,NBA,Austin,Reaves,Austin Reaves,15,G,active
131,17,NBA,Jalen,Suggs,Jalen Suggs,4,G,active
132,,,Jason,Preston,Jason Preston,7,G,active
134,6,NBA,Chris,Paul,Chris Paul,3,G,active
135,10,NBA,Bones,Hyland,Bones Hyland,5,G,active
138,,,Rudy,Gay,Rudy Gay,33,B,inactive
139,29,NBA,Gordon,Hayward,Gordon Hayward,20,W,active
140,,,Udonis,Haslem,Udonis Haslem,40,B,inactive
141,7,NBA,DeMar,DeRozan,DeMar DeRozan,11,W,active
142,20,NBA,JaVale,McGee,JaVale McGee,0,B,active
143,3,NBA,Al,Horford,Al Horford,42,B,active
145,23,NBA,Garrett,Temple,Garrett Temple,14,W,active
146,14,NBA,Mike,Conley,Mike Conley,10,G,active
148,9,NBA,Kyle,Lowry,Kyle Lowry,7,G,active
150,28,NBA,Bismack,Biyombo,Bismack Biyombo,18,B,active
153,0,NBA,Jonas,Valanciunas,Jonas Valanciunas,17,B,active
155,10,NBA,Mason,Plumlee,Mason Plumlee,44,B,active
156,10,NBA,P.J.,Tucker,P.J. Tucker,17,W,active
157,7,NBA,Nikola,Vucevic,Nikola Vucevic,9,B,active
158,11,NBA,Jae,Crowder,Jae Crowder,99,W,active
159,28,NBA,Marcus,Smart,Marcus Smart,36,G,active
161,0,NBA,CJ,McCollum,CJ McCollum,3,W,active
162,27,NBA,Bojan,Bogdanovic,Bojan Bogdanovic,44,W,active
163,,,Montrezl,Harrell,Montrezl Harrell,5,B,inactive
164,2,NBA,Markieff,Morris,Markieff Morris,88,B,active
165,7,NBA,Zach,LaVine,Zach LaVine,8,W,active
167,3,NBA,Jaylen,Brown,Jaylen Brown,7,W,active
170,14,NBA,Rudy,Gobert,Rudy Gobert,27,B,active
171,21,NBA,Kelly,Oubre Jr.,Kelly Oubre Jr.,9,W,active
172,9,NBA,Jimmy,Butler,Jimmy Butler,22,W,active
173,2,NBA,Derrick,Jones Jr.,Derrick Jones Jr.,55,W,active
174,6,NBA,Dario,Saric,Dario Saric,20,B,active
175,3,NBA,Jayson,Tatum,Jayson Tatum,0,W,active
177,,,Willy,Hernangomez,Willy Hernangomez,,B,active
178,26,NBA,Jordan,Clarkson,Jordan Clarkson,0,W,active
179,29,NBA,Terry,Rozier,Terry Rozier,3,G,active
180,,,Dewayne,Dedmon,Dewayne Dedmon,34,B,active
181,7,NBA,Alex,Caruso,Alex Caruso,6,G,active
182,,,Frank,Kaminsky,Frank Kaminsky,,B,active
183,3,NBA,Derrick,White,Derrick White,9,G,active
185,0,NBA,Larry,Nance Jr.,Larry Nance Jr.,22,B,active
186,13,NBA,Royce,O'Neale,Royce O'Neale,0,W,active
188,8,NBA,Victor,Oladipo,Victor Oladipo,3,W,active
190,16,NBA,Devin,Booker,Devin Booker,1,W,active
191,3,NBA,Luke,Kornet,Luke Kornet,40,B,active
193,0,NBA,Brandon,Ingram,Brandon Ingram,14,W,active
194,,,Juan Alberto,Hernangomez Geuer,Juancho Hernangomez,41,W,active
195,29,NBA,Cody,Martin,Cody Martin,11,G,active
196,9,NBA,Bam,Adebayo,Bam Adebayo,13,B,active
197,,,Tony,Bradley Jr.,Tony Bradley,5,B,active
198,11,NBA,Cameron,Payne,Cameron Payne,15,G,active
199,10,NBA,Daniel,Theis,Daniel Theis,10,B,active
201,22,NBA,Devonte',Graham,Devonte' Graham,4,G,active
202,21,NBA,Danuel,House Jr.,Danuel House Jr.,25,W,active
203,29,NBA,P.J.,Washington,P.J. Washington,25,B,active
205,14,NBA,Troy,Brown Jr.,Troy Brown Jr.,23,W,active
206,7,NBA,Torrey,Craig,Torrey Craig,13,W,active
207,18,NBA,Robert,Williams III,Robert Williams III,35,B,active
208,,NBA,Shaquille,Harrison,Shaquille Harrison,,G,inactive
210,5,NBA,Donovan,Mitchell,Donovan Mitchell,45,G,active
212,9,NBA,Caleb,Martin,Caleb Martin,16,W,active
