player_id,team_id,league_id,full_name,position_simple,status,jersey_number
2,12.0,NBA,LeBron James,W,active,23
3,11.0,NBA,Robin Lopez,B,active,42
4,21.0,NBA,Nicolas Batum,W,active,40
5,28.0,NBA,Derrick Rose,G,active,23
7,8.0,NBA,Jeff Green,B,active,32
9,24.0,NBA,Davis Bertans,B,active,9
11,,,Terrence Ross,W,inactive,8
12,10.0,NBA,Paul George,W,active,13
13,,,Taj Gibson,B,inactive,67
17,8.0,NBA,Reggie Bullock,W,active,25
19,17.0,NBA,Gary Harris,W,active,14
20,21.0,NBA,Marcus Morris Sr.,W,active,5
21,,,Kemba Walker,G,active,
22,,,Gorgui Dieng,B,inactive,41
23,,,Austin Rivers,G,inactive,25
25,2.0,NBA,Tim Hardaway Jr.,W,active,10
27,17.0,NBA,Markelle Fultz,G,active,20
28,10.0,NBA,Kawhi Leonard,W,active,2
29,27.0,NBA,Alec Burks,G,active,14
30,1.0,NBA,Clint Capela,B,active,15
31,,,Will Barton,W,inactive,1
34,10.0,NBA,Russell Westbrook,G,active,0
35,17.0,NBA,Jonathan Isaac,W,active,1
36,4.0,NBA,Reggie Jackson,G,active,7
37,15.0,NBA,Evan Fournier,W,active,13
38,1.0,NBA,Bogdan Bogdanovic,W,active,13
39,,,JaMychal Green,B,inactive,1
41,13.0,NBA,Spencer Dinwiddie,G,active,26
43,21.0,NBA,Mo Bamba,B,active,7
44,21.0,NBA,Robert Covington,W,active,33
45,,,Nerlens Noel,B,inactive,0
46,25.0,NBA,Delon Wright,G,active,55
47,4.0,NBA,Aaron Gordon,W,active,50
48,0.0,NBA,Cody Zeller,B,active,40
49,2.0,NBA,Dwight Powell,B,active,7
51,17.0,NBA,Wendell Carter Jr.,B,active,34
53,15.0,NBA,Julius Randle,B,active,30
55,4.0,NBA,Nikola Jokic,B,active,15
57,8.0,NBA,Boban Marjanovic,B,active,51
59,17.0,NBA,Moritz Wagner,B,active,21
60,10.0,NBA,Norman Powell,W,active,24
61,15.0,NBA,Ryan Arcidiacono,G,active,51
62,26.0,NBA,John Collins,B,active,20
63,4.0,NBA,Jamal Murray,G,active,27
66,12.0,NBA,Anthony Davis,B,active,3
67,16.0,NBA,Bol Bol,B,active,11
68,10.0,NBA,Ivica Zubac,B,active,40
69,15.0,NBA,Mitchell Robinson,B,active,23
70,20.0,NBA,Kevin Huerter,W,active,9
71,,,Bryn Forbes,W,inactive,
73,13.0,NBA,Dorian Finney-Smith,W,active,28
75,17.0,NBA,Chuma Okeke,W,active,3
76,28.0,NBA,Luke Kennard,W,active,10
77,15.0,NBA,RJ Barrett,W,active,9
78,27.0,NBA,Kevin Knox II,W,active,24
79,27.0,NBA,Monte Morris,G,active,5
81,29.0,NBA,Frank Ntilikina,G,active,44
82,,,Stanley Johnson,W,active,
84,15.0,NBA,Isaiah Hartenstein,B,active,55
85,12.0,NBA,Cam Reddish,W,active,5
86,1.0,NBA,Trae Young,G,active,11
87,4.0,NBA,Vlatko Cancar,W,active,31
89,,,Sterling Brown,W,active,0
90,20.0,NBA,Malik Monk,W,active,0
91,17.0,NBA,Admiral Schofield,W,active,25
92,10.0,NBA,Amir Coffey,W,active,7
93,15.0,NBA,Quentin Grimes,W,active,6
94,1.0,NBA,De'Andre Hunter,W,active,12
95,,,Davon Reed,W,active,1
97,2.0,NBA,Maxi Kleber,B,active,42
98,,,Wenyen Gabriel,B,active,32
100,10.0,NBA,Terance Mann,W,active,14
101,19.0,NBA,Obi Toppin,B,active,1
102,1.0,NBA,Onyeka Okongwu,B,active,17
103,4.0,NBA,Michael Porter Jr.,W,active,1
105,15.0,NBA,Jalen Brunson,G,active,11
106,,,Kendrick Nunn,G,active,
107,17.0,NBA,Cole Anthony,G,active,50
108,10.0,NBA,Xavier Moon,G,active,15
109,15.0,NBA,Immanuel Quickley,G,active,5
110,18.0,NBA,Skylar Mays,G,active,5
111,4.0,NBA,Zeke Nnaji,B,active,22
113,2.0,NBA,Luka Doncic,G,active,77
114,26.0,NBA,Talen Horton-Tucker,W,active,5
115,9.0,NBA,R.J. Hampton,G,active,4
116,,,Jay Scrubb,W,inactive,55
117,15.0,NBA,Miles McBride,G,active,2
121,,,Theo Pinson,W,active,11
123,17.0,NBA,Franz Wagner,W,active,22
124,10.0,NBA,Brandon Boston Jr.,W,active,4
125,15.0,NBA,Jericho Sims,B,active,45
126,1.0,NBA,Jalen Johnson,B,active,1
127,,,Facundo Campazzo,G,active,7
129,2.0,NBA,Josh Green,W,active,8
130,12.0,NBA,Austin Reaves,G,active,15
131,17.0,NBA,Jalen Suggs,G,active,4
132,,,Jason Preston,G,active,7
134,6.0,NBA,Chris Paul,G,active,3
135,10.0,NBA,Bones Hyland,G,active,5
138,,,Rudy Gay,B,inactive,33
139,29.0,NBA,Gordon Hayward,W,active,20
140,,,Udonis Haslem,B,inactive,40
